# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
239;18712085.5805013;-18725494.2976188;-15647158.1431609;-1501555.56188354;-2305787.6632171
240;-2557971.41321504;-16212624.1500033;-11683136.3058951;-1347096.95955181;-3460121.52011661
241;18870522.1018524;-18022888.9550149;-8327130.43444199;-5031058.74361352;-5062210.69879942
242;-11779683.4596353;-15357719.9391764;-11217073.0244846;-6098572.54058215;-3517058.81456581
243;-4334696.97476301;-15489827.5170707;-8421781.11789623;284462.722507234;-4192120.71161031
244;-1002797.99548528;-14354697.6923953;-4980407.0931099;-1113081.17053567;-6190506.97500009
245;5527286.55693984;-14366138.9438193;-3816712.67831509;-1710658.233758;-5063559.04540646
246;-18896825.0536388;-12739128.3570356;-7250194.87593048;3091661.82596905;-3113904.53756929
247;83037.6265123228;-11698833.602232;-2621017.70443203;-130772.638501094;-4002353.32263076
248;-8688440.08773674;-13795303.081605;-7149102.00180564;-3222973.82568808;-3468577.48332065
249;-7486405.40404985;-12737111.1162762;-4706918.38799773;883103.494532448;-3396302.75039956
250;-6422625.86243625;-9999895.83466259;-2924155.67451204;-4233497.97365748;-787608.500634739
251;26464656.4602471;-10947469.3952848;-306654.237547138;-2731890.99813306;-816190.409101752
252;6018958.13363696;-8646300.62312002;-798144.203713259;-2882319.83292628;2778395.41726164
253;-10834155.8506805;-8898417.09415824;-1607955.57244568;-5360457.21969032;2823045.75218258
254;-3483688.14345376;-8357751.68360441;-1332177.55615112;-3345488.08338288;4501740.00925482
255;-5845007.76547997;-7854574.61491694;-51900.671224691;-355150.951296222;3944192.5769844
256;-13571936.4341251;-6178085.53931159;870179.543905365;-4227511.122595;3737709.00269731
257;-2428981.16198682;-3567747.21918366;3858734.65496479;-1489364.28353993;6350585.24336525
258;-10966126.8429725;-3400396.44334287;-1368021.84547517;-4959083.72668496;8757952.43737404
259;-2593679.02294388;-3052314.31573157;2927608.8411108;-3991194.89350747;8596420.42468313
260;-11266107.9022219;-1619544.42563575;-4496298.05879158;545953.389990324;11072181.6323357
261;13295205.0129072;-4822516.41091705;1905847.59461342;-8028612.58426118;7543460.44965245
262;-21908868.7821643;-2811711.65711188;-3716885.60458173;-4649006.38846678;10916556.3502738
263;-18056686.5855062;1868326.44191277;2301921.73947971;-7206659.87202912;15292264.4570519
264;3927181.18342155;1569157.25064705;4014078.26066877;-7519088.28460578;20079697.6051818
265;22171612.9797701;3368083.39186507;2488614.46663778;-12542763.7813907;26570398.4071061
266;6353210.92421459;1631159.65857574;900478.546950463;-11875174.8577689;24882515.9806971
267;41146823.6579334;3810093.54647562;3184132.41790925;-11144379.8997451;29309394.7971551
268;-11797382.6635719;5008682.22554537;3945479.13945117;-4717833.33922396;22288686.6424785
269;12667390.2228874;3703144.71141003;-57475.9891734982;-9349837.05031767;27123708.0853697
270;3491635.04504843;4064480.01552082;-203839.702032378;-11189129.9658176;25281294.4751867
271;19636911.0498719;5382348.56644987;-1069629.50492621;-11791725.4778984;28755156.356072
272;37793016.2394722;3927767.26503331;-2085242.91209432;-9884519.88471301;33811594.7005761
273;-224475514.230002;-6793658.29811021;-25111327.6808762;6298751.20504189;14027561.7940475
274;-228125487.170157;-6924656.07910511;-26586013.5426086;8030917.46380109;13794286.0558653
